# ecs,pa,pv,pc
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.344610532697607219e-01,4.796663227326632508e-04,1.615097726546348145e-02,9.777407019129432959e-04
7.468359745517614279e-01,5.907601839221690142e-04,1.393521140462173659e-02,9.435772978944821079e-04
6.579920749578065386e-01,6.166595898413914202e-04,1.128229225766366750e-02,8.892081797998009716e-04
5.873234404045231116e-01,6.487064499068252070e-04,9.193025262766347377e-03,8.453145527487936810e-04
5.253225406590099622e-01,6.600798874324150358e-04,7.557017938934800644e-03,7.961679131861836489e-04
4.730787988585803405e-01,6.636881300119654463e-04,6.270591435491112628e-03,7.496110610366947579e-04
4.280948039831816154e-01,6.580529452040953390e-04,5.249961184541954672e-03,7.045395858976253494e-04
3.894273833938751150e-01,6.464719334782577159e-04,4.434991681863825058e-03,6.621236524863568585e-04
3.558702033495910744e-01,6.301067750513086830e-04,3.779635450418737403e-03,6.222039971394482602e-04
3.265799917087126580e-01,6.104536684515812555e-04,3.249168501886561585e-03,5.848291227031905248e-04
3.008175856076426569e-01,5.885076908579562867e-04,2.816869593891895354e-03,5.498448257167673839e-04
2.780023087418211913e-01,5.651181905673821658e-04,2.462149567798685088e-03,5.171139208691876874e-04
2.576574643566151290e-01,5.409189715842463659e-04,2.169011873648167034e-03,4.864761344111468268e-04
2.393993495599082699e-01,5.164042089376146439e-04,1.924982797194835530e-03,4.577815640912362189e-04
2.229157576782085648e-01,4.919448545193189299e-04,1.720289836294023461e-03,4.308876566149367083e-04
2.079528577780303533e-01,4.678187531810502420e-04,1.547250650035468826e-03,4.056637846232026274e-04
1.943030914623975480e-01,4.442291217795864473e-04,1.399805370369410547e-03,3.819903510729532811e-04
1.817960460861991756e-01,4.213214182633185116e-04,1.273159461208269545e-03,3.597585126571083407e-04
1.702909918156857993e-01,3.991960149842263615e-04,1.163508160777936918e-03,3.388691111132408388e-04
1.596710203281687668e-01,3.779184893948764399e-04,1.067823268604645116e-03,3.192317091168030987e-04
1.498383660030092046e-01,3.575276465050850972e-04,9.836873493474001997e-04,3.007636051168363655e-04
1.407106995680507677e-01,3.380418623332557171e-04,9.091644323720262690e-04,2.833889592682878279e-04
1.322181801170118631e-01,3.194640504021153049e-04,8.426988701246049783e-04,2.670380149395416153e-04
1.243011114245234361e-01,3.017855551792088102e-04,7.830360417936008902e-04,2.516464249470516776e-04
1.169080746978270330e-01,2.849891925306055314e-04,7.291600542113685400e-04,2.371546698427663235e-04
1.099944387526905626e-01,2.690516195952756084e-04,6.802447100235077494e-04,2.235075582168913441e-04
1.035211687096158628e-01,2.539451756691153716e-04,6.356148558300153120e-04,2.106537969087594853e-04
9.745387120559476091e-02,2.396393069878668090e-04,5.947158685870361722e-04,1.985456205481603330e-04
9.176202709566196047e-02,2.261016641915406433e-04,5.570895337546901641e-04,1.871384709001300837e-04
8.641837297539085860e-02,2.132989426649348024e-04,5.223549511470031116e-04,1.763907179423740998e-04
8.139840096816486348e-02,2.011975210858984889e-04,4.901934007342955606e-04,1.662634158641841978e-04
7.667995263048184296e-02,1.897639418434566249e-04,4.603363310701705105e-04,1.567200883353158454e-04
7.224288787301702541e-02,1.789652677501122073e-04,4.325558126664718716e-04,1.477265383722541818e-04
6.806881377619548867e-02,1.687693421922448732e-04,4.066569390605916340e-04,1.392506789586248875e-04
6.414086131925442191e-02,1.591449741112156333e-04,3.824717682860503975e-04,1.312623812618931684e-04
6.044350052123313721e-02,1.500620646677996398e-04,3.598544837227043080e-04,1.237333378516690342e-04
