# ecs,pa,pv,pc
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.729419878318203097e-01,4.664591757736183853e-04,1.646493145907846831e-02,1.086667855651627388e-03
7.996125926417108065e-01,5.530223891094401085e-04,1.516129582796868491e-02,1.035113460148629535e-03
7.236937680897219671e-01,5.807906037504054382e-04,1.298575743195182729e-02,9.774535387741664291e-04
6.592081749169028670e-01,6.124525168068345070e-04,1.114167172674541267e-02,9.287305362669264885e-04
6.005098699605160295e-01,6.287461395070889462e-04,9.607661571447391122e-03,8.771473048221564445e-04
5.488414736657309945e-01,6.381277766621662722e-04,8.331199875630393784e-03,8.279254896612862078e-04
5.028018591652476665e-01,6.394038418486083786e-04,7.261294807549512238e-03,7.804343044638654579e-04
4.619114698538272501e-01,6.348545945847250058e-04,6.360493016383120604e-03,7.355053674738868362e-04
4.254233592111913431e-01,6.253803289777519741e-04,5.598185240700192730e-03,6.930516366109377687e-04
3.927820843277404772e-01,6.121669308339709173e-04,4.950227835442600269e-03,6.531011620635917203e-04
3.634677380055677531e-01,5.960763704754802259e-04,4.397029805877408423e-03,6.155325456640921592e-04
3.370471455085801704e-01,5.778758381416676613e-04,3.922728290468348485e-03,5.802272666975058762e-04
3.131457822203339014e-01,5.581781081407429911e-04,3.514353938943663280e-03,5.470466340454282822e-04
2.914464306360575185e-01,5.374881904828644275e-04,3.161269894449608969e-03,5.158566074651700466e-04
2.716784917613911943e-01,5.162113945431070963e-04,2.854709317923951901e-03,4.865273101137127573e-04
2.536116285626532352e-01,4.946729141627176753e-04,2.587422954471243607e-03,4.589370750454926885e-04
2.370491254739672260e-01,4.731304694620109782e-04,2.353396578834919019e-03,4.329724423928286428e-04
2.218226292259019572e-01,4.517865746026154079e-04,2.147626739232192956e-03,4.085283341701361859e-04
2.077875773587619934e-01,4.307983023653739270e-04,1.965939980373628947e-03,3.855075387653667321e-04
1.948194205826511427e-01,4.102856168551527656e-04,1.804846764929775912e-03,3.638201650132146230e-04
1.828104523626160327e-01,3.903382189727059638e-04,1.661422627711801880e-03,3.433830160551651746e-04
1.716671732027555686e-01,3.710212325960631483e-04,1.533211135279610900e-03,3.241189956378390225e-04
1.613080923596945937e-01,3.523798887000875279e-04,1.418144334870401028e-03,3.059565515110822145e-04
1.516618960545133565e-01,3.344433880949776732e-04,1.314477348230642332e-03,2.888291723225340046e-04
1.426659184688990611e-01,3.172280789983005964e-04,1.220734451279906251e-03,2.726749362585623084e-04
1.342648640235045154e-01,3.007400690952592151e-04,1.135664524539023099e-03,2.574361093061536395e-04
1.264097377751080276e-01,2.849773695409232041e-04,1.058204174666530243e-03,2.430587881315207286e-04
1.190569484753902785e-01,2.699316524199771479e-04,9.874471552910716893e-04,2.294925826065569152e-04
1.121675549666701910e-01,2.555896888683222164e-04,9.226189736515356390e-04,2.166903330272838238e-04
1.057066317379001114e-01,2.419345235241321314e-04,8.630557756595925957e-04,2.046078575584246771e-04
9.964273366632585283e-02,2.289464313013107736e-04,8.081867672042057811e-04,1.932037259382792427e-04
9.394744343511937656e-02,2.166036945267240548e-04,7.575195628417521641e-04,1.824390560062395556e-04
8.859498796094709971e-02,2.048832318983730323e-04,7.106279611002635273e-04,1.722773300939188642e-04
8.356191250686231808e-02,1.937611052903064524e-04,6.671417336452158684e-04,1.626842287495354163e-04
7.882680308360326404e-02,1.832129259390646869e-04,6.267380874832614683e-04,1.536274796349750048e-04
7.437004933281642083e-02,1.732141778347295392e-04,5.891345183437029761e-04,1.450767197518180193e-04
