# ecs,pa,pv,pc
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.865073921503136001e-01,4.618638468753047659e-04,1.646158838170798042e-02,1.132080576080166795e-03
8.192221089985745053e-01,5.388875120933855380e-04,1.549363778347983243e-02,1.077175857893747672e-03
7.489139953209105194e-01,5.660062679408892853e-04,1.352792654205745883e-02,1.019126226453433235e-03
6.877542547483725954e-01,5.965408429893357843e-04,1.181091612025274816e-02,9.693079993879120341e-04
6.312683732569444039e-01,6.137831611459055540e-04,1.035062064186671044e-02,9.172112934756579709e-04
5.807190066259352301e-01,6.246996667766226748e-04,9.110095643813626021e-03,8.672604936295804767e-04
5.350562980331977636e-01,6.281645878553765308e-04,8.049521046927238591e-03,8.189904073259324409e-04
4.939619466488187616e-01,6.260750317278883544e-04,7.139337194214806503e-03,7.731455402545584681e-04
4.568575333606132438e-01,6.191986329151651048e-04,6.354789800999885788e-03,7.296792885412924264e-04
4.233041556253997473e-01,6.085723393019673143e-04,5.676031990566344013e-03,6.886295700806747879e-04
3.928773058331282986e-01,5.949727374151963242e-04,5.086655474146557776e-03,6.499000215372998518e-04
3.652151735181765058e-01,5.791036774403697258e-04,4.573139311191747221e-03,6.133909930111549735e-04
3.399981998713106912e-01,5.615407758935585161e-04,4.124228333153649381e-03,5.789819529402199030e-04
3.169503202681555609e-01,5.427680724387148620e-04,3.730524010153552297e-03,5.465536475063093903e-04
2.958315904150180531e-01,5.231829580543438316e-04,3.384137718183318540e-03,5.159885422501479888e-04
2.764340155776364716e-01,5.031116666339477926e-04,3.078425339967827846e-03,4.871748293227750530e-04
2.585768020783744126e-01,4.828193583247977847e-04,2.807771495543212072e-03,4.600068473581633453e-04
2.421025395331216357e-01,4.625202270489563606e-04,2.567416548334559064e-03,4.343855341510125608e-04
2.268737894488536688e-01,4.423857067356897193e-04,2.353315403718913255e-03,4.102182159369344660e-04
2.127702162880252268e-01,4.225516132112328905e-04,2.162021977847361325e-03,3.874183138910299181e-04
1.996861354429844138e-01,4.031241213989606386e-04,1.990593917841783182e-03,3.659049415421738831e-04
1.875284408137977976e-01,3.841848201040177699e-04,1.836513682235809200e-03,3.456024988381241575e-04
1.762148475128341718e-01,3.657949519345963770e-04,1.697622856388804032e-03,3.264402741177003251e-04
1.656724032376256373e-01,3.479989736054229783e-04,1.572067282339634437e-03,3.083520730478863888e-04
1.558362247730806505e-01,3.308275394108810968e-04,1.458251068947536734e-03,2.912758768675492932e-04
1.466484240655016313e-01,3.143000005144035115e-04,1.354797937739282742e-03,2.751535310458872634e-04
1.380571935639843539e-01,2.984264966704340202e-04,1.260518655436945138e-03,2.599304623939569588e-04
1.300160256573455464e-01,2.832097055578304003e-04,1.174383537647790418e-03,2.455554222469485634e-04
1.224830451349658011e-01,2.686463042896626292e-04,1.095499191967861741e-03,2.319802530058041174e-04
1.154204370997853751e-01,2.547281890110280928e-04,1.023088815636758126e-03,2.191596754803080472e-04
1.087939556382633288e-01,2.414434911154420276e-04,9.564754809395120986e-04,2.070510946867812905e-04
1.025725009460760340e-01,2.287774224648886693e-04,8.950679372886566690e-04,1.956144220269501308e-04
9.672775458923270342e-02,2.167129768394759340e-04,8.383485370466883064e-04,1.848119120356522989e-04
9.123386422483664715e-02,2.052315105241028380e-04,7.858629562949550262e-04,1.746080121245306336e-04
8.606717047346411353e-02,1.943132213203101633e-04,7.372114347027048081e-04,1.649692239595036648e-04
8.120596977515616433e-02,1.839375422334901615e-04,6.920413025492968238e-04,1.558639752907760453e-04
