# ecs,pa,pv,pc
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.344897036397701529e-01,4.798429940253926148e-04,1.615102121600494114e-02,9.776173715884833599e-04
7.468722026109925194e-01,5.908986172101388665e-04,1.393575625520748762e-02,9.438196697934559797e-04
6.580351472819150338e-01,6.168010501591793737e-04,1.128299623424041699e-02,8.895357117615234179e-04
5.873676839053554311e-01,6.488481572602436106e-04,9.193719578523834243e-03,8.457489277292735107e-04
5.253658571780688291e-01,6.602223632107503438e-04,7.557639283431448127e-03,7.966851518867250868e-04
4.731192429952978395e-01,6.638303077136145907e-04,6.271101964491110521e-03,7.501963730994778111e-04
4.281314775457782384e-01,6.581944731403831760e-04,5.250346683473989563e-03,7.051722003789023850e-04
3.894597914621868440e-01,6.466121697039944232e-04,4.435249930287183708e-03,6.627865976175955536e-04
3.558982446991896254e-01,6.302451399032596392e-04,3.779772686481961807e-03,6.228824217919586232e-04
3.266037780891066222e-01,6.105895443965258292e-04,3.249195451878443813e-03,5.855113012335062773e-04
3.008373742014995300e-01,5.886405044354535605e-04,2.816799347967683352e-03,5.505215744002699661e-04
2.780184322089624960e-01,5.652474204402913645e-04,2.461995983393848800e-03,5.177783300070175777e-04
2.576702910800453550e-01,5.410441721292902784e-04,2.168788622567338446e-03,4.871231298818627024e-04
2.394092543187234245e-01,5.165250159290656756e-04,1.924702759916547797e-03,4.584075581454041121e-04
2.229231039626889677e-01,4.920609875069070858e-04,1.719964770370216445e-03,4.314902300188500268e-04
2.079579867850792352e-01,4.679300118382866179e-04,1.546891032044000374e-03,4.062414291232402538e-04
1.943063162568726410e-01,4.443353796957508813e-04,1.399420357369708439e-03,3.825422583540795418e-04
1.817976490626019015e-01,4.214226148723312915e-04,1.272756927021982502e-03,3.602844064119338323e-04
1.702912244024459842e-01,3.992921468410439746e-04,1.163094777898622621e-03,3.393691139297877598e-04
1.596701040843727659e-01,3.780096013803905869e-04,1.067404614725889428e-03,3.197062380789077217e-04
1.498364945492708933e-01,3.576138234262989405e-04,9.832680245540417752e-04,3.012132903279177306e-04
1.407080409550726108e-01,3.381232211703830213e-04,9.087481777152935656e-04,2.838145806568221209e-04
1.322148793692494440e-01,3.195407333443474806e-04,8.422886817584200733e-04,2.674404534984126244e-04
1.242972930860696129e-01,3.018577235002169244e-04,7.826342772200431874e-04,2.520266253353188211e-04
1.169038452726991056e-01,2.850570212985361956e-04,7.287685288310936883e-04,2.375136118933547657e-04
1.099898889765774657e-01,2.691152931754395468e-04,6.798647832904413735e-04,2.238462354070508246e-04
1.035163756209710184e-01,2.540048839566243720e-04,6.352475070324683365e-04,2.109732002589707976e-04
9.744890000434848487e-02,2.396952422963131144e-04,5.943617627268111365e-04,1.988467267420581069e-04
9.175693279164630345e-02,2.261540187218157678e-04,5.567490782582016143e-04,1.874222336781567627e-04
8.641320183617579032e-02,2.133479064776020622e-04,5.220283442708469751e-04,1.766580620251424294e-04
8.139319178149249934e-02,2.012432805072305729e-04,4.898806725746682059e-04,1.665152328244749237e-04
7.667473779810810020e-02,1.898066782387930549e-04,4.600373780705408031e-04,1.569572339629389155e-04
7.223769435399940431e-02,1.790051566066141087e-04,4.322704264726206797e-04,1.479498311767182481e-04
6.806366389710212517e-02,1.688065524589552340e-04,4.063848305044684504e-04,1.394608995322368613e-04
6.413577346783716493e-02,1.591796677512443965e-04,3.822125872042029518e-04,1.314602722872922058e-04
6.043848973887699927e-02,1.500943963837379292e-04,3.596078352358821539e-04,1.239196045860252904e-04
