# ecs,pa,pv,pc
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.984743771626380271e-01,4.905415450475073902e-04,1.579033760211992488e-02,8.695941693691334193e-04
7.006601620417722831e-01,6.217094129447654251e-04,1.288190177474927110e-02,8.578158915579917661e-04
6.029168156770718934e-01,6.419089060449240450e-04,9.920187958077988921e-03,8.110057792044166524e-04
5.295590891391910304e-01,6.709942894779803843e-04,7.684103859974041918e-03,7.769604137396551001e-04
4.669964552188058393e-01,6.755555170991100512e-04,6.008391115685837724e-03,7.343299576594812658e-04
4.161220521612198353e-01,6.725659748977696854e-04,4.743170396775038718e-03,6.936910648129111919e-04
3.734208464725174426e-01,6.601981972557995548e-04,3.781294906795516428e-03,6.533922897457016422e-04
3.375855225974694340e-01,6.424824807316970639e-04,3.045188996523715431e-03,6.150661970476819325e-04
3.070692289133468145e-01,6.206467006718768354e-04,2.478315852377094720e-03,5.785948767666354055e-04
2.808503138098410457e-01,5.963005527181129434e-04,2.039001654293883751e-03,5.441727136319900833e-04
2.580695771009406947e-01,5.704231224040362579e-04,1.696327040485380534e-03,5.117249344702075623e-04
2.380824911887630957e-01,5.438261489592932174e-04,1.427196495682532497e-03,4.811938719934650503e-04
2.203792488550030959e-01,5.170771072984997390e-04,1.214272442786926880e-03,4.524799568453470849e-04
2.045647547125609700e-01,4.905969365950109016e-04,1.044480768411992430e-03,4.254848855481829133e-04
1.903281595544293048e-01,4.646809709854171546e-04,9.079255193275846984e-04,4.001077083929234458e-04
1.774247238390818660e-01,4.395347410381195900e-04,7.970912102700609004e-04,3.762518279851971418e-04
1.656600601378154514e-01,4.152945770307299184e-04,7.062531254337081274e-04,3.538250831458427444e-04
1.548787532666954792e-01,3.920457910528005120e-04,6.310383835261140772e-04,3.327407070568565747e-04
1.449554364358557335e-01,3.698356523187673064e-04,5.680976849235876191e-04,3.129171812556877179e-04
1.357880596028958331e-01,3.486835374639699991e-04,5.148587586150931436e-04,2.942781000667398102e-04
1.272927152643567872e-01,3.285885044690924138e-04,4.693405422740042944e-04,2.767518647758020135e-04
1.193996893637155887e-01,3.095350489681597105e-04,4.300127198879299907e-04,2.602713802047174974e-04
1.120504303240027200e-01,2.914974251632195088e-04,3.956892848628163991e-04,2.447737452194954835e-04
1.051952220161385954e-01,2.744428942319373718e-04,3.654477154304921105e-04,2.301999639493591593e-04
9.879139124172806041e-02,2.583341518785624985e-04,3.385674873386431403e-04,2.164946773416953640e-04
9.280192349197467772e-02,2.431311354924758006e-04,3.144832220994454473e-04,2.036059171908452862e-04
8.719439024474366640e-02,2.287923602711628790e-04,2.927489356042545622e-04,1.914848806757556132e-04
8.194011457548792954e-02,2.152758989972526594e-04,2.730107208127234369e-04,1.800857236526347716e-04
7.701351927293138833e-02,2.025400922713040640e-04,2.549858485014896091e-04,1.693653705791658124e-04
7.239161500199003951e-02,1.905440553286008695e-04,2.384467584537624011e-04,1.592833392060314269e-04
6.805359613771103100e-02,1.792480316587506152e-04,2.232087814511001943e-04,1.498015783692542070e-04
6.398051956914413418e-02,1.686136316144888397e-04,2.091207104060332383e-04,1.408843174709271528e-04
6.015504760017006264e-02,1.586039850179922744e-04,1.960575494264350360e-04,1.324979264490103647e-04
5.656124051189607982e-02,1.491838297982784819e-04,1.839149292336851984e-04,1.246107852245204571e-04
5.318438773029150746e-02,1.403195533802927030e-04,1.726047986328953059e-04,1.171931617669757787e-04
5.001086911894527670e-02,1.319791995010715648e-04,1.620520939943453605e-04,1.102170980425720047e-04
